author,comment,likes,clean_comment
@shubhamver,Bhai show ki ticket kaha se milti hai,0,bhai show ki ticket kaha se milti hai
@HisSlaveByChoice,Samay... Just play Chesssss... That is classes... <br>Point being you have to compete since Doland Trump,0,samay just play chesssss that is classes brpoint being you have to compete since doland trump
@Merina-y4j,Sukrudev&#39;s aura after that &quot;cut&quot;💯💯💯,0,sukrudev39s aura after that quotcutquot
@Merina-y4j,Surkrudev ka acting next level ka tha 💯❣️,2,surkrudev ka acting next level ka tha
@MdMohtasim-z4l,yuooottttttttttttttttt<br>j08uhklfbohi0ggdhi8dkgmd toityrtyhhrh<br>rh<br>h<br>g<br>hg<br>hrgh<br>g<br>h<br>g<br>g<br>g<br>gh<br>g<br><br><br>g<br>g<br>g<br>g<br><br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>g<br>gf<br>bthr<br>th<br><br>hth<br>th<br>t<br>h<br>trh<br>trtt<br><br>t<br>t<br>t<br>t<br>t<br>t,0,yuoootttttttttttttttttbrj08uhklfbohi0ggdhi8dkgmd toityrtyhhrhbrrhbrhbrgbrhgbrhrghbrgbrhbrgbrgbrgbrghbrgbrbrbrgbrgbrgbrgbrbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgbrgfbrbthrbrthbrbrhthbrthbrtbrhbrtrhbrtrttbrbrtbrtbrtbrtbrtbrt
@sahilkhurana6889,Next episode kb ayega,0,next episode kb ayega
@Gagandeep-qb5jw,Bro bring this trump as panelist for 1 episode (maybe in place of balraj gay),0,bro bring this trump as panelist for 1 episode maybe in place of balraj gay
@talhashaikh3044,Episode 2 kab Ayega?,0,episode 2 kab ayega
@ahmedparvez3283,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=1529"">25:29</a> ❤️‍🩹",0,a href
@thedailygrind_07,Trump was my favourite here 😂😂😂,0,trump was my favourite here
@RishuMandal-g8g,Agla episode kb aayega,0,agla episode kb aayega
@shivam....kumar00007,I have questions to samay . Would you? 😅😅😅😅😅😅😂😂,0,i have questions to samay  would you
@RebelliousLass,Alia looked odd man out.,0,alia looked odd man out
@Study03-z9p,R2H ko bolao bhai <br>R2H ko bolai,0,r2h ko bolao bhai brr2h ko bolai
@ayushplayz2990,❤❤,0,
@praveenkumar-jf5nt,Bhanchuuuuuuu😂😂,0,bhanchuuuuuuu
@the24thcapricorn,"Highest point of Latent, lowest point of her career...what an introduction for Churaliya Bhatt 😂😂😂",0,highest point of latent lowest point of her careerwhat an introduction for churaliya bhatt
@rahulmaran007,"अविनाश अग्रवाल के सामने सब के सब बच्चे जैसे बैठे थे, साला ट्रंप की पर्सनालिटी ही कुछ ऐसी है, wow धोलांड ड्रम ❤😂 , धो दिया, विनाश ने 😂😂",1,wow
@UnknownEcho-j2j,"<b>DISCLAIMER</b> :- this video is not made for kids , except balraj singh ghai&#39;s kids because this is the only time they get to see their father 😂😂<br><b>LAST LINE epic who else noticed</b>",0,bdisclaimerb  this video is not made for kids  except balraj singh ghai39s kids because this is the only time they get to see their father brblast line epic who else noticedb
@WebNewsWala,"Who is waiting For INDIA’S GOT LATENT S2 EP2 @webnewswala <a href=""http://www.youtube.com/results?search_query=%23webnewswala"">#webnewswala</a>",1,who is waiting for indias got latent s2 ep2  a href
@Aftabkhanmusic,Episode 2 kab ayegi????,0,episode 2 kab ayegi
@Darpan2411,Isko kyu Mila bhai National award,0,isko kyu mila bhai national award
@shubhamyadav-cq6gi,Please take auditions from every State of India,0,please take auditions from every state of india
@thesurvivor9468,Kya really alia bhatt hai 😅,0,kya really alia bhatt hai
@1Godkiller,😂😂😂😂😂😂😂😂,0,
@aditichauhan008,"<a href=""https://www.youtube.com/watch?v=-N939leBdEY"">https://youtube.com/watch?v=-N939leBdEY&amp;lc=UgzZC4LCZAGrODrx6AV4AaABAg&amp;si=2V8V5HnsHt8TiZHG</a><br> If you are planning to visit  to shimla, then please visit our resort in shimla Orchid valley resort in koti shimla,  this is in between kufri and chail road.🙏",0,a href if you are planning to visit  to shimla then please visit our resort in shimla orchid valley resort in koti shimla  this is in between kufri and chail road
@RishikeshKumar-o9e,S2 we are back with a banger. Hats of to the bravery of these two girls and contestants.,0,s2 we are back with a banger hats of to the bravery of these two girls and contestants
@SameerPatel-r6p,Came to dislike video and go 😂,0,came to dislike video and go
@Adish-t3l,Show was good but at the end of show dance was epic alia bhattt😊❤,1,show was good but at the end of show dance was epic alia bhattt
@ranganmondal-d3u,Disclaimer ka last line padhna zara😂😂,0,disclaimer ka last line padhna zara
@ShazidulIslam-w1f3l,Alia Bhatt Is Tooo Gorgeous ❤,0,alia bhatt is tooo gorgeous
@akritigupta1577,"Back again <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=3360"">56:00</a> 🔥❤",0,back again a href
@jackboy-k1o,Balraj decided to become ashish chanalani for just 1 hour 😭,2,balraj decided to become ashish chanalani for just 1 hour
@ritiktiwari2322,Fir jail jayega bhaii😂😂,0,fir jail jayega bhaii
@vipinshukla8389,Next Episode Kab Aayega 😡,0,next episode kab aayega
@siratvats5611,bhai 2nd episode pls 🙏🏻,0,bhai 2nd episode pls
@gadgetsrock5888,India biggest latrine show 😂,0,india biggest latrine show
@hoomanbeing,"<a href=""UCAov2BBv1ZJav0c_yHEciAw/LXRNZ660OtDJ_9EPgeyv4AQ""></a>",15,a hrefucaov2bbv1zjav0cyheciawlxrnz660otdj9epgeyv4aqa
@AnuragHegde,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=3540"">59:00</a> Yeh Alia aur Sharvari Heroine hokar utna shy and awkward feel nahi karr rahe thae dance karne mein jitna Samay aur Ashish feel karr rahe thae...😂",0,a href yeh alia aur sharvari heroine hokar utna shy and awkward feel nahi karr rahe thae dance karne mein jitna samay aur ashish feel karr rahe thae
@Anita-1-r5f,Alia was cooked😂,0,alia was cooked
@WAIT_CONTINUES,meanwhile the man in the corner the tough guy behaving like a sigma damn!!,0,meanwhile the man in the corner the tough guy behaving like a sigma damn
@pranshukartikey8822,one of the best dancer samay,0,one of the best dancer samay
@Paras-wd2ij,It has good humour but I just don&#39;t feel like watching it it&#39;s been over 8 days and I have just watched over  20 minutes cumulative,1,it has good humour but i just don39t feel like watching it it39s been over 8 days and i have just watched over  20 minutes cumulative
@PawanPandey-j6z8b,Nice one samay ❤,0,nice one samay
@whymee-3i,Crazzzzzy bhhai🎉🎉,0,crazzzzzy bhhai
@LigeKamki,Kabhi arunachal pradesh bhi aye yaha😂,0,kabhi arunachal pradesh bhi aye yaha
@AmitsinghSingh-f1l,Best song of the year 😂😂,1,best song of the year
@arjunastro2162,Trump guy dominating the whole show absolute legend 🔥,1,trump guy dominating the whole show absolute legend
@taicondagaming9415,Bhai sab bohot achha hain likin ep2 kab ayaga,1,bhai sab bohot achha hain likin ep2 kab ayaga
@sahilyadav7873,N3i😮0mu,0,n3i0mu
@localgang4538,North East Wala like,4,north east wala like
@MubeenInayatJagirani,pura episode hi donald trump ne sambhal liya hatss off,0,pura episode hi donald trump ne sambhal liya hatss off
@novatech-m9q,Bhai ye banda gajab ka hai pahale vstrado ka advertisement karata tha iske bad novaAI ka kar raha hai,0,bhai ye banda gajab ka hai pahale vstrado ka advertisement karata tha iske bad novaai ka kar raha hai
@muhammadzafar1059,Yar 🎉,0,yar
@T.kabutar,"<a href=""https://www.youtube.com/shorts/cWn5V49gg70"">https://youtube.com/shorts/cWn5V49gg70?si=-3Rl7fZFUAQPG7UH</a>",1,a href
@ganeshsd6268,That Ballu chai ki tapir pe was crazy,0,that ballu chai ki tapir pe was crazy
@DernDiscover,Idk why people laughing <br>I didn&#39;t get single time laughed except that trump mimicry,0,idk why people laughing bri didn39t get single time laughed except that trump mimicry
@Varnit_2029,Alia was the most uncomfortable of all time,0,alia was the most uncomfortable of all time
@Neon-aise,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=310"">5:10</a> latent season 2 toh theek hai lekin ye lodu phone kyu hai yaha",0,a href latent season 2 toh theek hai lekin ye lodu phone kyu hai yaha
@aachal18,Here only for orange fanta😂,0,here only for orange fanta
@WinWin-do7,Samay bhai full support me ! Continue 🎉,0,samay bhai full support me  continue
@arpitasanyal7373,Bhaii we want 2nd episode😂,0,bhaii we want 2nd episode
@Rdrocxd-D7,2nd Episode Kaha Hai 😵‍💫😵‍💫😵‍💫😵‍💫,0,2nd episode kaha hai
@gourmetxdish,Would love to watch more of Trump❤❤ my god he was amazing!!!,0,would love to watch more of trump my god he was amazing
@NayanDas-cf7hm,Bhai next eq  do  bhai,0,bhai next eq  do  bhai
@SuyashDabhade-hl3sh,"How many of you felt Alia looked a bit scared during Donald Trump&#39;s act, as if she was thinking, What if this turns into something bigger. ? 😅🙋‍♂️",34,how many of you felt alia looked a bit scared during donald trump39s act as if she was thinking what if this turns into something bigger
@kamaldeeppunia9983,Thanda show tha,1,thanda show tha
@manurathor-h3u,"@SamayRainaOfficial Bhai <a href=""http://www.youtube.com/results?search_query=%23namanarora"">#NAMANARORA</a> ko bulao lo yrr 🙌🏻😂",0,bhai a href ko bulao lo yrr
@golubholu7872,"This time it was all perfect panel, contents, humour, comic timing",0,this time it was all perfect panel contents humour comic timing
@HarshitRathi-u3g,Bhai next episode kab release hogha ???,0,bhai next episode kab release hogha
@sadatalsaud9825,"Just look at Alia&#39;s face everytime Samay promotes a product,,,😂😂",0,just look at alia39s face everytime samay promotes a product
@NamanKeshri-k4q5e,Don&#39;t worry next episode Johnny sins and Comatose are going to appear 💀💀💀,0,don39t worry next episode johnny sins and comatose are going to appear
@rajugurjar9455,Alia ke dance ke liye puri video dekh dali😂😂,1,alia ke dance ke liye puri video dekh dali
@rabinpoudel1617,"Invite Avinash Agarwal (Trump) in IGL pannel, he is too good 😂",0,invite avinash agarwal trump in igl pannel he is too good
@ShivaniKushwahaa-g5j,episode 2 kab ayega yarr,0,episode 2 kab ayega yarr
@GrossGurlll_24,Sharvari has a personality,0,sharvari has a personality
@Flyfact7-r6j,Is show ko gaali dene wale Gen z attendance idhar 😅✅✅✅,0,is show ko gaali dene wale gen z attendance idhar
@Flyfact7-r6j,Jab ek famous actress Alia Bhatt SSO Mein jaaye Jahan per jaane ke liye akshy Kumar Salman Khan Jaise great  actor reject kar de to samajh Jana ki vah actress Bharat ke Sanskar bhul chuki hai,0,jab ek famous actress alia bhatt sso mein jaaye jahan per jaane ke liye akshy kumar salman khan jaise great  actor reject kar de to samajh jana ki vah actress bharat ke sanskar bhul chuki hai
@avinashojha6892,Amazing show man ... Just amazing,0,amazing show man  just amazing
@soumyadas854,Alia❤,0,alia
@MarvelPratik,We want new not your type ...,0,we want new not your type
@Rajanmarwaha0024,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=3491"">58:11</a><br><br>Ashish tried to give high five but got ignored😅😅",0,a href tried to give high five but got ignored
@JosephRai-f1v,Fell so happy and proud for you bro ❤❤❤❤🇳🇵🇳🇵🇳🇵🇳🇵🇳🇵,0,fell so happy and proud for you bro
@junaidbabar8446,"Alia bhatt just watched the real acting <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=2461"">41:01</a> 😂",0,alia bhatt just watched the real acting a href
@MOHAMMEDFAISAL-w9d,Waiting for next video,0,waiting for next video
@junaidbabar8446,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=1655"">27:35</a> this line proved bro&#39;s talent 🔥",0,a href this line proved bro39s talent
@ujjavalojha,"Bhai ranveer alhabadi buttom for next episode,dogle fans ke liye👊",0,bhai ranveer alhabadi buttom for next episodedogle fans ke liye
@tubermanish6773,Last scene ❤😂,0,last scene
@paramjit7,🎉,0,
@HawaNizamani-y5c,Amazing 😂and entertaining show,0,amazing and entertaining show
@junaidbabar8446,Please limit the number of products on the table. It&#39;s too messy and distracting. Aik he mobile kafi tha yaar!,0,please limit the number of products on the table it39s too messy and distracting aik he mobile kafi tha yaar
@junaidbabar8446,"What to know <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=256"">4:16</a> cut 😅😂",0,what to know a href cut
@RijaSarkar-m5l,❤❤❤,0,
@RijaSarkar-m5l,❤❤❤❤❤❤,0,
@sunam2303,"next episode kab ayega?<br>latent 2 aneme jitna waiti karna para, iske lea eksath 7/8 episode release karneparvi kamhoga.",0,next episode kab ayegabrlatent 2 aneme jitna waiti karna para iske lea eksath 78 episode release karneparvi kamhoga
@artbyuzbi,❤❤❤,0,
@jlkrofficial,Donald trump overshadowed Samay Raina 😂,0,donald trump overshadowed samay raina
@mrsameerst5511,Amazing yrr😂❤,0,amazing yrr
@AarviSikri-d5j,binge watching latent at 4am is my new and favorite hobbyyy❤,0,binge watching latent at 4am is my new and favorite hobbyyy
@SohiniDatta-o3z,Mere Chai ki Tapri pe Sabki Nazarjaan hai. 💯,0,mere chai ki tapri pe sabki nazarjaan hai
